PLAYER NAME,AVERAGE SG:OTT,AVERAGE SG:PUTTING,GREENS %,GIR% - AVG%,TOTAL SG:PUTTING,TOTAL SG:OTT,PREDICTIVE SCORE
Mark Hubbard,0.018000000000000002,0.456,66.67,-0.24500473933648959,1.824,0.07200000000000001,1.5969952606635105
James Hahn,0.14300000000000002,-0.083,69.44,1.7493952606635066,-0.332,0.5720000000000001,1.5603952606635065
Ryan Moore,0.29100000000000004,0.033,68.56,1.1157952606635044,0.132,1.1640000000000001,1.5387952606635045
Joseph Bramlett,-0.07200000000000001,-0.155,70.02,2.1669952606635006,-0.62,-0.28800000000000003,1.4749952606635004
Viktor Hovland,0.514,-0.076,68.73,1.238195260663507,-0.304,2.056,1.448195260663507
Bubba Watson,0.66,0.1,67.53,0.37419526066350617,0.4,2.64,1.4341952606635062
Kevin Streelman,0.326,0.08900000000000001,68.03,0.7341952606635065,0.35600000000000004,1.304,1.4161952606635066
Peter Uihlein,-0.7240000000000001,0.36200000000000004,67.96,0.683795260663504,1.4480000000000002,-2.8960000000000004,1.4077952606635042
Sepp Straka,0.311,0.247,67.16,0.10779526066350353,0.988,1.244,1.4067952606635035
J.T. Poston,0.193,0.574,65.48,-1.1018047393364911,2.296,0.772,1.3871952606635087
Joaquin Niemann,0.37200000000000005,-0.267,69.87,2.0589952606635125,-1.068,1.4880000000000002,1.3629952606635125
Jason Day,0.24,0.297,66.9,-0.07940473933649184,1.188,0.96,1.348595260663508
Troy Merritt,-0.061,0.423,66.58,-0.30980473933649844,1.692,-0.244,1.3211952606635016
Cameron Davis,0.215,-0.091,69.03,1.4541952606635071,-0.364,0.86,1.3051952606635073
Bronson Burgoon,-0.067,0.363,66.88,-0.09380473933649824,1.452,-0.268,1.2911952606635018
Michael Gellerman,-0.40399999999999997,0.19399999999999998,68.25,0.892595260663505,0.7759999999999999,-1.6159999999999999,1.264595260663505
Chris Kirk,0.292,-0.315,69.87,2.0589952606635125,-1.26,1.168,1.0909952606635125
Kevin Kisner,0.161,0.5379999999999999,65.3,-1.2314047393364929,2.1519999999999997,0.644,1.0815952606635069
Kevin Na,-0.41,0.857,64.31,-1.9442047393364943,3.428,-1.64,1.0737952606635057
Matthew Wolff,0.588,0.166,66.75,-0.18740473933649593,0.664,2.352,1.064595260663504
Stewart Cink,-0.11800000000000001,0.121,67.97,0.6909952606635033,0.484,-0.47200000000000003,1.0569952606635031
Nick Taylor,0.14300000000000002,-0.033,68.45,1.0365952606635052,-0.132,0.5720000000000001,1.0475952606635053
Paul Casey,0.579,-0.613,71.06,2.915795260663506,-2.452,2.316,1.042795260663506
Ben Taylor,-0.337,-0.002,68.92,1.3749952606635079,-0.008,-1.348,1.0299952606635079
Brandon Hagy,-0.059000000000000004,0.16,67.63,0.44619526066349824,0.64,-0.23600000000000002,1.0271952606634984
Dustin Johnson,0.5589999999999999,0.096,67.12,0.0789952606635067,0.384,2.2359999999999998,1.0219952606635068
Lucas Glover,0.336,-0.262,69.23,1.5981952606635073,-1.048,1.344,0.8861952606635073
Vincent Whaley,-0.002,0.27699999999999997,66.67,-0.24500473933648959,1.1079999999999999,-0.008,0.8609952606635103
Martin Laird,0.251,-0.49700000000000005,70.51,2.5197952606635097,-1.9880000000000002,1.004,0.7827952606635095
Brandt Snedeker,-0.316,0.46299999999999997,65.9,-0.7994047393364925,1.8519999999999999,-1.264,0.7365952606635073
Lanto Griffin,0.078,0.353,65.9,-0.7994047393364925,1.412,0.312,0.6905952606635074
Russell Knox,-0.145,-0.35,70.11,2.2317952606635014,-1.4,-0.58,0.6867952606635015
Charley Hoffman,-0.022000000000000002,0.071,67.58,0.4101952606635022,0.284,-0.08800000000000001,0.6721952606635022
